1:02.2	Australia David Theile	December 6, 1956	Melbourne, Australia
1:01.5	Australia John Monckton	February 15, 1958	Melbourne, Australia
1:01.3	United States Bob Bennett	August 19, 1961	Los Angeles, USA
1:01.0	United States Tom Stock	August 11, 1962	Cuyahoga Falls, USA
1:00.9	United States Tom Stock	August 12, 1962	Cuyahoga Falls, USA
1:00.8	West Germany Ernst-Joachim Küppers	August 28, 1964	Dortmund, West Germany
1:00.0	United States Thompson Mann	September 3, 1964	New York City, USA
59.6	United States Thompson Mann	October 16, 1964	Tokyo, Japan
59.5	United States Doug Russell	August 28, 1967	Tokyo, Japan
59.3	United States Charlie Hickcox	August 28, 1967	Tokyo, Japan
59.1	United States Charlie Hickcox	August 31, 1967	Tokyo, Japan
58.4	East Germany Roland Matthes	September 21, 1967	Leipzig, East Germany
58.0	East Germany Roland Matthes	October 26, 1968	Mexico City, Mexico
57.8	East Germany Roland Matthes	August 23, 1969	Würzburg, West Germany
56.9	East Germany Roland Matthes	September 8, 1970	Barcelona, Spain
56.7	East Germany Roland Matthes	September 4, 1971	Leipzig, East Germany
56.3	East Germany Roland Matthes	April 8, 1972	Moscow, USSR
56.30	East Germany Roland Matthes	September 4, 1972	Munich, West Germany
56.19	United States John Naber	July 18, 1976	Montreal, Canada
55.49	United States John Naber	July 19, 1976	Montreal, Canada
55.44	United States Rick Carey	August 6, 1983	Clovis, California, USA
55.38	United States Rick Carey	August 6, 1983	Clovis, California, USA
55.19	United States Rick Carey	August 21, 1983	Caracas, Venezuela
55.17	Soviet Union Igor Polyansky	March 15, 1988	Tallinn, USSR
55.16	Soviet Union Igor Polyansky	March 16, 1988	Tallinn, USSR
55.00	Soviet Union Igor Polyansky	July 16, 1988	Moscow, USSR
54.95	United States David Berkoff	August 12, 1988	Austin, Texas, USA
54.91	United States David Berkoff	August 12, 1988	Austin, Texas, USA
54.51	United States David Berkoff	September 24, 1988	Seoul, South Korea
53.93	United States Jeff Rouse	August 25, 1991	Edmonton, Canada
53.86 (r)	United States Jeff Rouse	July 31, 1992	Barcelona, Spain
53.60	United States Lenny Krayzelburg	August 24, 1999	Sydney, Australia
53.45 (r)	United States Aaron Peirsol	August 21, 2004	Athens, Greece
53.17	United States Aaron Peirsol	April 2, 2005	Indianapolis, Indiana, USA
52.98	United States Aaron Peirsol	March 27, 2007	Melbourne, Australia
52.89	United States Aaron Peirsol	July 1, 2008	Omaha, Nebraska, USA
52.54	United States Aaron Peirsol	August 12, 2008	Beijing, China
52.38	Spain Aschwin Wildeboer	July 1, 2009	Pescara, Italy
51.94	United States Aaron Peirsol	July 8, 2009	Indianapolis, Indiana, USA
51.85 (r)	United States Ryan Murphy	August 13, 2016	Rio de Janeiro, Brazil
